Objeto,Fornecedor,Período da contratação,E-mail,Telefone
AQUISIÇÃO CAFÉ E AÇÚCAR ,SANTA RITA COMERCIO E DISTRIBUIDORA LTDA,,vendasrtj03@gmail.com,(21) 3796 5586
AQUISIÇÃO CAFÉ E AÇÚCAR ,Jessi papelaria e informática em geral LTDA,,Vendas2@jessidistribuidora.com.br,3232-7788
AQUISIÇÃO CAFÉ E AÇÚCAR ,SOMOS 3 DISTRIBUIDORA DE ALIMENTOS LTDA,,somostres.distribuidora@gmail.com,21- 992057260
AQUISIÇÃO CAFÉ E AÇÚCAR ,F PEREIRA COMÉRCIO E DISTRIBUIDORA LTDA,,d.amarovendas@gmail.com,(21) 98987-5872
AQUISIÇÃO CAFÉ E AÇÚCAR ,DANJAC DISTRIBUIDORA LTDA-ME,,danjacltda@gmail.com,(21) 3371-1343
Prestação de serviços de pesquisa e envio de recortes relativos a Diários Oficiais em nome da IPLANRIO,ACR 117 RECORTES DE DIÁRIOS OFICIAIS LTDA. – ME.,,recortes@acrweb.com.br,(21) 2220-1878
Prestação de serviços de pesquisa e envio de recortes relativos a Diários Oficiais em nome da IPLANRIO,ADVISE PRODUTOS E SERVICOS EM TECNOLOGIA LTDA,,licitacoes@advise.com.br, (43) 2102-1780
Prestação de serviços de pesquisa e envio de recortes relativos a Diários Oficiais em nome da IPLANRIO,NCL JUSDIGITAL PUBLICAÇÕES ELETRÔNICAS EIRELI EPP,,jp@cortesdelima.com.br,(11) 4121-9996
Prestação de serviços de pesquisa e envio de recortes relativos a Diários Oficiais em nome da IPLANRIO, INFODIGI INFORMACOES DIGITAIS LTDA,,suporte@publicacoesonline.com.br,(48) 3203-1220
Prestação de serviços de pesquisa e envio de recortes relativos a Diários Oficiais em nome da IPLANRIO,LEXNEWS DATA MINING RECORTE ELETRONICO DE DIARIOS OFICIAIS LTDA.,,comercial@lexnews.com.br,(48) 3203-1221
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE EXPANSÃO DE SOLUÇÃO DE PROTEÇÃO DE PERÍMETRO CHECKPOINT COM SOLUÇÃO DE BALANCEAMENTO DE FIREWALL CORPORATIVO E APPLIANCES FÍSICOS DO TIPO “NEXT GENERATION THREAT PREVENTION” E SUPORTE TÉCNICO.,MULTITECNOLOGIA SERVIÇOS DE INFORMATICA LTDA-ME,,nei@multiplusrj.com.br,"(21) 2543-9360
(21) 99947-8639"
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE EXPANSÃO DE SOLUÇÃO DE PROTEÇÃO DE PERÍMETRO CHECKPOINT COM SOLUÇÃO DE BALANCEAMENTO DE FIREWALL CORPORATIVO E APPLIANCES FÍSICOS DO TIPO “NEXT GENERATION THREAT PREVENTION” E SUPORTE TÉCNICO.,ALLCOMNET TECNOLOGIA E SISTEMAS LTDA,,vendas@allcomnet.com.br,(11) 2626-7130
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE EXPANSÃO DE SOLUÇÃO DE PROTEÇÃO DE PERÍMETRO CHECKPOINT COM SOLUÇÃO DE BALANCEAMENTO DE FIREWALL CORPORATIVO E APPLIANCES FÍSICOS DO TIPO “NEXT GENERATION THREAT PREVENTION” E SUPORTE TÉCNICO.,NTSEC SOLUÇÕES EM TELEINFORMÁTICA LTDA,,"financeiro@ntsec.com.br
contato@ntsec.com.br",(61) 3248-3829
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE EXPANSÃO DE SOLUÇÃO DE PROTEÇÃO DE PERÍMETRO CHECKPOINT COM SOLUÇÃO DE BALANCEAMENTO DE FIREWALL CORPORATIVO E APPLIANCES FÍSICOS DO TIPO “NEXT GENERATION THREAT PREVENTION” E SUPORTE TÉCNICO.,SCANSEC Tecnologia,,comercial@scansec.com.br,(11) 3136-0081
REGISTRO DE PREÇOS PARA PRESTAÇÃO DE SERVIÇOS DE EXPANSÃO DE SOLUÇÃO DE PROTEÇÃO DE PERÍMETRO CHECKPOINT COM SOLUÇÃO DE BALANCEAMENTO DE FIREWALL CORPORATIVO E APPLIANCES FÍSICOS DO TIPO “NEXT GENERATION THREAT PREVENTION” E SUPORTE TÉCNICO.,MULTITECNOLOGIA SERVIÇOS DE INFORMATICA LTDA-ME,,nei@multiplusrj.com.br,"(21) 2543-9360
(21) 99947-8639"
" ADESÃO AO REGISTRO DE PREÇOS DE FÁBRICA DE SOFTWARE PARA ÓRGÃO DA ADMINISTRAÇÃO DIRETA, FUNDAÇÕES E AUTARQUIAS",VERZEL SOLUÇÕES EM SISTEMAS LTDA ,, comercial@verzel.com.br, 11 932923563
" ADESÃO AO REGISTRO DE PREÇOS DE FÁBRICA DE SOFTWARE PARA ÓRGÃO DA ADMINISTRAÇÃO DIRETA, FUNDAÇÕES E AUTARQUIAS",FATTO CONSULTORIA E SISTEMAS LTDA,,,
" ADESÃO AO REGISTRO DE PREÇOS DE FÁBRICA DE SOFTWARE PARA ÓRGÃO DA ADMINISTRAÇÃO DIRETA, FUNDAÇÕES E AUTARQUIAS",MINDTEEK INTELIGÊNCIA E TECNOLOGIA LTDA,,contato@mindtek.com.br, 21 20186771 
" ADESÃO AO REGISTRO DE PREÇOS DE FÁBRICA DE SOFTWARE PARA ÓRGÃO DA ADMINISTRAÇÃO DIRETA, FUNDAÇÕES E AUTARQUIAS",totem treinamentos e consultoria em TI ,,E-mail: odilon.rauen@totemti.com.br, (65) 3027-1353        98118-8888
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",XPART COMERCIO EIRELI,,ariane@premiumstore.com.br,12 3935-3600
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",A W G C MARQUES EPP  (ATACADAO),,gerencia.televendas@atacadaodatecnologia.com, 82 3028 7070
"IPL-PRO-2022/00456              DESCRIÇÃO DO SERVIÇO: Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",NETCENTER INFORMATICA LTDA,,claudio.medeiros@netcenter.com.br,(21) 4501-4005 | (21) 99526-2763
